eigenvalues,eigenvector1,eigenvector2,eigenvector3
2.23083,0.00580401,-0.00840576,0.0112892
4.1683,0.0118636,-0.0171418,0.0229608
6.38314,0.0181521,-0.0261271,0.0348416
9.19814,0.0246411,-0.035277,0.0467528
12.7672,0.031301,-0.044504,0.0585123
17.1133,0.0381008,-0.0537187,0.0699381
22.234,0.0450087,-0.0628307,0.0808506
28.124,0.0519922,-0.0717499,0.0910761
34.7776,0.0590182,-0.080387,0.100449
42.1882,0.0660533,-0.0886549,0.108816
50.349,0.0730642,-0.0964693,0.116035
59.2521,0.0800178,-0.10375,0.121982
68.8891,0.0868812,-0.110421,0.126551
79.2509,0.0936226,-0.116413,0.129654
90.3276,0.100211,-0.121661,0.131225
102.108,0.106616,-0.12611,0.131221
114.582,0.112808,-0.129708,0.129621
127.737,0.118762,-0.132416,0.126427
141.56,0.124451,-0.134199,0.121664
156.038,0.129851,-0.135034,0.115381
171.157,0.13494,-0.134905,0.107648
186.903,0.139699,-0.133805,0.0985559
203.26,0.144111,-0.131737,0.0882155
220.212,0.148159,-0.128711,0.076755
237.744,0.15183,-0.124747,0.0643186
255.837,0.155115,-0.119873,0.0510636
274.476,0.158005,-0.114124,0.037159
293.641,0.160493,-0.107544,0.0227818
313.314,0.162577,-0.100181,0.00811538
333.477,0.164255,-0.0920931,-0.00665391
354.109,0.165527,-0.0833405,-0.0213391
375.191,0.166398,-0.0739899,-0.0357553
396.702,0.166873,-0.0641117,-0.0497225
418.622,0.166958,-0.0537796,-0.0630677
440.929,0.166664,-0.0430697,-0.0756277
463.602,0.166,-0.0320601,-0.0872506
486.619,0.16498,-0.0208294,-0.0977985
509.958,0.163619,-0.00945655,-0.107148
533.596,0.16193,0.00198004,-0.115194
557.51,0.159932,0.0134034,-0.121847
581.677,0.157641,0.0247387,-0.127037
606.073,0.155077,0.0359136,-0.130714
630.676,0.152259,0.046859,-0.132846
655.461,0.149206,0.0575098,-0.133423
680.405,0.145939,0.067805,-0.132449
705.483,0.142478,0.0776883,-0.129953
730.67,0.138845,0.0871084,-0.125976
755.943,0.135059,0.0960194,-0.120579
781.278,0.131141,0.104381,-0.113837
806.649,0.127112,0.112157,-0.10584
832.032,0.122991,0.119321,-0.0966895
857.402,0.118797,0.125847,-0.0864977
882.736,0.114549,0.131718,-0.0753863
908.008,0.110264,0.136922,-0.063484
933.194,0.105961,0.141453,-0.0509248
958.27,0.101656,0.145308,-0.037846
983.211,0.0973626,0.148492,-0.0243869
1007.99,0.0930968,0.151012,-0.0106865
1032.59,0.0888718,0.152881,0.00311805
1056.99,0.0847,0.154116,0.0168927
1081.15,0.0805928,0.154736,0.0305084
1105.06,0.0765608,0.154766,0.043842
1128.69,0.0726132,0.154232,0.0567778
1152.02,0.0687584,0.153163,0.0692084
1175.04,0.0650037,0.15159,0.0810356
1197.7,0.0613556,0.149545,0.0921709
1220,0.0578193,0.147063,0.102536
1241.92,0.0543994,0.144178,0.112065
1263.42,0.0510994,0.140927,0.120699
1284.49,0.047922,0.137344,0.128396
1305.12,0.044869,0.133466,0.135119
1325.27,0.0419417,0.129328,0.140845
1344.93,0.0391404,0.124965,0.145561
1364.09,0.0364648,0.120409,0.149264
1382.71,0.033914,0.115695,0.151959
1400.79,0.0314867,0.110851,0.15366
1418.31,0.0291808,0.105909,0.15439
1435.25,0.026994,0.100897,0.154179
1451.59,0.0249233,0.0958386,0.153063
1467.32,0.0229655,0.0907599,0.151082
1482.42,0.021117,0.0856824,0.148283
1496.88,0.0193741,0.080626,0.144716
1510.69,0.0177325,0.0756088,0.140433
1523.82,0.016188,0.0706463,0.13549
1536.27,0.014736,0.0657523,0.129943
1548.03,0.0133719,0.0609382,0.123849
1559.08,0.0120909,0.0562134,0.117263
1569.41,0.0108881,0.0515852,0.110243
1579.02,0.00975848,0.0470589,0.102842
1587.89,0.00869701,0.0426378,0.0951131
1596.01,0.00769856,0.0383231,0.087105
1603.38,0.00675793,0.0341143,0.0788648
1609.99,0.00586987,0.030009,0.0704356
1615.82,0.00502908,0.0260027,0.0618567
1620.88,0.00423017,0.0220896,0.0531635
1625.15,0.00346766,0.0182616,0.0443867
1628.61,0.00273596,0.0145092,0.0355527
1631.23,0.00202936,0.010821,0.026683
1632.9,0.00134195,0.0071837,0.0177941
1634.83,0.000667621,0.00358236,0.00889766
