eigenvalues,eigenvector1,eigenvector2,eigenvector3
4.05707,0.0114503,-0.0155297,0.0182601
7.906,0.0233536,-0.0315274,0.0368958
11.8105,0.0356033,-0.0476954,0.0553777
15.7475,0.0480885,-0.0637288,0.0731735
19.773,0.0606953,-0.0793224,0.089764
24.1191,0.0733087,-0.0941763,0.104659
29.0925,0.0858139,-0.108003,0.11741
34.8442,0.098098,-0.120532,0.127628
41.3949,0.110052,-0.131519,0.13499
48.7314,0.12157,-0.140744,0.139254
56.8377,0.132554,-0.148024,0.14026
65.6999,0.142913,-0.15321,0.137939
75.3055,0.152565,-0.156191,0.132315
85.6426,0.161435,-0.1569,0.123498
96.6995,0.169461,-0.155308,0.111689
108.464,0.17659,-0.151429,0.0971668
120.925,0.182782,-0.145318,0.0802821
134.069,0.188006,-0.137067,0.0614469
147.882,0.192243,-0.126803,0.0411217
162.353,0.195486,-0.114688,0.0198025
177.465,0.19774,-0.10091,-0.00199323
193.205,0.199017,-0.0856822,-0.0237413
209.556,0.199342,-0.0692361,-0.0449246
226.504,0.198747,-0.0518175,-0.065047
244.032,0.197274,-0.0336811,-0.0836458
262.122,0.19497,-0.0150852,-0.100303
280.757,0.191891,0.00371304,-0.114656
299.92,0.188095,0.0224624,-0.126402
319.59,0.183648,0.040922,-0.135308
339.751,0.178616,0.0588652,-0.141212
360.381,0.173068,0.0760833,-0.144025
381.461,0.167075,0.0923879,-0.14373
402.97,0.160707,0.107613,-0.140382
424.889,0.154032,0.121619,-0.134099
447.194,0.147121,0.13429,-0.125062
469.866,0.140036,0.145537,-0.113501
492.882,0.132842,0.155297,-0.0996946
516.219,0.125598,0.163533,-0.0839557
539.856,0.118357,0.170232,-0.0666243
563.769,0.111171,0.175403,-0.0480577
587.935,0.104086,0.179079,-0.0286214
612.33,0.0971421,0.181309,-0.00868023
636.932,0.0903763,0.182161,0.01141
661.716,0.0838195,0.181716,0.0313099
686.659,0.0774983,0.180067,0.0507028
711.736,0.0714343,0.177318,0.0693005
736.923,0.0656448,0.173578,0.0868477
762.195,0.0601427,0.16896,0.103125
787.528,0.0549369,0.163581,0.117951
812.899,0.0500327,0.157556,0.131182
838.281,0.0454317,0.151001,0.142717
863.65,0.0411329,0.144025,0.152488
888.983,0.0371322,0.136735,0.160468
914.254,0.0334235,0.12923,0.16666
939.44,0.0299985,0.121603,0.1711
964.514,0.0268473,0.113939,0.17385
989.455,0.0239585,0.106314,0.174996
1014.24,0.0213198,0.0987961,0.174644
1038.83,0.0189182,0.0914443,0.172914
1063.23,0.0167398,0.0843094,0.16994
1087.39,0.0147707,0.0774334,0.165862
1111.3,0.0129969,0.0708505,0.160824
1134.93,0.0114043,0.0645871,0.154973
1158.26,0.00997909,0.0586627,0.148452
1181.27,0.00870791,0.0530903,0.141402
1203.94,0.00757775,0.0478768,0.133954
1226.23,0.00657618,0.0430242,0.126234
1248.15,0.00569138,0.0385298,0.118357
1269.65,0.00491221,0.0343869,0.110428
1290.72,0.00422818,0.0305858,0.102539
1311.34,0.00362954,0.0271138,0.0947729
1331.49,0.00310723,0.0239563,0.0871988
1351.15,0.00265291,0.021097,0.0798757
1370.3,0.00225893,0.0185185,0.0728514
1388.93,0.00191829,0.0162026,0.0661632
1407,0.00162465,0.0141309,0.0598389
1424.52,0.00137227,0.0122848,0.0538975
1441.45,0.00115601,0.010646,0.04835
1457.79,0.000971219,0.00919677,0.0432005
1473.51,0.000813789,0.00791983,0.038447
1488.61,0.000680054,0.00679877,0.0340824
1503.06,0.00056677,0.00581805,0.0300951
1516.85,0.000471083,0.00496308,0.0264703
1529.98,0.000390484,0.00422025,0.0231903
1542.42,0.000322782,0.003577,0.0202356
1554.16,0.000266064,0.00302174,0.017585
1565.19,0.000218674,0.00254391,0.0152168
1575.5,0.000179175,0.00213388,0.0131085
1585.08,0.000146328,0.00178296,0.0112378
1593.91,0.00011907,0.0014833,0.0095828
1601.98,9.6486e-05,0.00122788,0.00812187
1609.29,7.77939e-05,0.00101042,0.00683423
1615.8,6.2325e-05,0.000825279,0.00569988
1621.51,4.95072e-05,0.000667462,0.00469968
1626.37,3.88506e-05,0.000532486,0.00381533
1630.29,2.99338e-05,0.000416334,0.00302935
1633.15,2.23917e-05,0.000315375,0.00232493
1636.17,1.59038e-05,0.000226289,0.00168579
1640.66,1.01833e-05,0.000145985,0.00109595
1647.22,4.96595e-06,7.15201e-05,0.000539449
