eigenvalues,eigenvector1,eigenvector2,eigenvector3
17.4286,0.0473613,-0.0605562,-0.0689141
36.9772,0.0950514,-0.118632,-0.131687
56.6229,0.141091,-0.168964,-0.179525
76.2758,0.183624,-0.207002,-0.205655
95.9041,0.221027,-0.229339,-0.206286
115.493,0.252007,-0.234026,-0.181109
135.035,0.275665,-0.2207,-0.133272
154.526,0.291527,-0.190559,-0.0688645
173.961,0.299541,-0.14616,0.0040113
193.338,0.300052,-0.0910966,0.0764013
212.657,0.293738,-0.0295972,0.139715
231.916,0.281536,0.0339135,0.186807
251.113,0.264558,0.095224,0.212787
270.247,0.244001,0.150684,0.215448
289.319,0.221065,0.197457,0.195315
308.327,0.196885,0.233658,0.155321
327.27,0.172473,0.258389,0.100225
346.148,0.14868,0.27167,0.0358616
364.96,0.126179,0.274296,-0.0316348
383.707,0.105457,0.267647,-0.0965386
402.386,0.0868255,0.253482,-0.154083
420.999,0.0704394,0.233728,-0.200812
439.543,0.0563222,0.210305,-0.23472
458.02,0.0443943,0.184982,-0.255206
476.427,0.0345014,0.159276,-0.262876
494.766,0.0264409,0.134398,-0.259258
513.038,0.0199853,0.111239,-0.246472
531.251,0.0149002,0.0903798,-0.226915
549.433,0.0109592,0.0721295,-0.202983
567.655,0.00795266,0.0565742,-0.176862
586.047,0.00569427,0.0436308,-0.150391
604.784,0.00402343,0.0330989,-0.124992
624.015,0.00280558,0.024708,-0.10166
643.822,0.00193087,0.0181553,-0.0809957
664.218,0.00131166,0.0131351,-0.0632692
685.175,0.000879537,0.00935913,-0.0484899
706.649,0.000582213,0.0065692,-0.0364845
728.592,0.000380481,0.00454311,-0.0269648
750.959,0.000245488,0.00309628,-0.0195849
773.707,0.000156387,0.00207993,-0.013985
796.797,9.83707e-05,0.00137736,-0.0098215
820.19,6.11012e-05,0.000899296,-0.006786
843.853,3.74776e-05,0.00057899,-0.00461422
867.752,2.27015e-05,0.000367628,-0.0030885
891.854,1.35806e-05,0.000230232,-0.0020355
916.128,8.02382e-06,0.000142231,-0.00132118
940.543,4.68234e-06,8.66834e-05,-0.000844724
965.07,2.69887e-06,5.21237e-05,-0.000532119
989.679,1.53658e-06,3.09267e-05,-0.00033031
1014.34,8.64165e-07,1.81079e-05,-0.00020208
1039.03,4.80099e-07,1.04635e-05,-0.000121866
1063.71,2.63495e-07,5.96751e-06,-7.24537e-05
1088.35,1.42869e-07,3.35932e-06,-4.24732e-05
1112.94,7.65306e-08,1.86674e-06,-2.45528e-05
1137.44,4.05034e-08,1.02405e-06,-1.39982e-05
1161.82,2.11801e-08,5.5462e-07,-7.87184e-06
1186.05,1.09423e-08,2.96575e-07,-4.36677e-06
1210.11,5.5841e-09,1.56587e-07,-2.38984e-06
1233.97,2.81697e-09,8.16385e-08,-1.29046e-06
1257.6,1.40652e-09,4.20345e-08,-6.87587e-07
1280.97,6.95123e-10,2.13735e-08,-3.61541e-07
1304.06,3.37302e-10,1.07316e-08,-1.87615e-07
1326.83,1.6031e-10,5.32527e-09,-9.60947e-08
1349.25,7.59267e-11,2.6119e-09,-4.85826e-08
1371.31,3.40966e-11,1.26239e-09,-2.42497e-08
1392.96,1.59522e-11,6.01545e-10,-1.1948e-08
1414.17,9.55681e-12,2.8547e-10,-5.81391e-09
1434.93,7.2244e-12,1.34617e-10,-2.79139e-09
1455.18,4.39955e-12,6.01665e-11,-1.32358e-09
1474.9,-7.38046e-13,2.52563e-11,-6.17919e-10
1494.05,-3.83078e-12,1.10233e-11,-2.8572e-10
1512.59,-2.41144e-12,5.12367e-12,-1.31079e-10
1530.48,7.27328e-13,3.91419e-12,-5.93712e-11
1547.66,1.99345e-12,4.09012e-12,-2.88337e-11
1564.07,-1.94116e-13,3.27034e-12,-1.24796e-11
1579.65,-1.43341e-12,2.90008e-12,-5.64139e-12
1594.3,7.73461e-13,1.93036e-12,-1.30954e-12
1607.87,2.36186e-12,-1.47663e-12,6.52433e-13
1620.12,7.78851e-13,-5.02758e-12,1.21458e-12
1630.79,-1.4023e-12,-4.68253e-12,2.01476e-12
1640.82,-1.9555e-12,-1.23855e-12,-5.74759e-13
1652.18,-9.30112e-13,-4.80285e-13,-8.29636e-13
1665.26,7.84922e-13,-2.62515e-12,-1.35608e-12
1679.79,1.18636e-12,-2.20158e-12,-2.83138e-12
1695.65,3.93201e-13,1.45412e-13,-1.47586e-12
1712.77,6.54624e-13,1.25009e-13,-8.70425e-13
1731.16,2.01096e-12,-9.90816e-13,3.23411e-13
1750.84,2.31305e-12,-2.20025e-13,1.09178e-12
1771.86,8.00675e-13,1.61806e-12,1.14976e-12
1794.3,-1.21437e-12,2.47216e-12,3.15568e-12
1818.27,-1.68015e-12,2.38082e-12,2.68341e-12
1843.91,2.68033e-13,2.69517e-12,1.45792e-12
1871.41,2.24233e-12,2.59541e-12,2.6233e-12
1901.03,2.11964e-12,3.86984e-14,2.11814e-12
1933.11,8.22802e-13,-2.68613e-12,1.2538e-12
1968.17,-8.81563e-13,-1.62871e-12,1.29493e-12
2006.96,-2.15759e-12,8.8541e-13,6.88916e-13
2050.74,-1.57915e-12,-7.85264e-14,1.08516e-12
2101.93,-2.16196e-13,-3.21401e-12,7.48617e-13
2166.79,2.02481e-13,-3.50257e-12,-8.48485e-13
