eigenvalues,eigenvector1,eigenvector2,eigenvector3
17.4198,0.0624284,-0.0796357,0.0904162
36.9354,0.124747,-0.153647,0.168197
56.5207,0.183257,-0.212385,0.217634
76.0853,0.234644,-0.248241,0.228579
95.5971,0.27626,-0.256662,0.198465
115.041,0.306325,-0.236676,0.132667
134.41,0.324026,-0.190836,0.0432063
153.697,0.3295,-0.124651,-0.0538462
172.899,0.32373,-0.0456286,-0.141631
192.014,0.308361,0.0378897,-0.205672
211.04,0.285467,0.117874,-0.236315
229.975,0.257321,0.187571,-0.23
248.817,0.226167,0.242157,-0.189258
267.565,0.194043,0.279028,-0.12159
286.218,0.162656,0.297739,-0.0376052
304.774,0.133308,0.299679,0.0510974
323.233,0.106886,0.287556,0.13387
341.593,0.083884,0.26483,0.202455
359.854,0.0644644,0.235175,0.251748
378.013,0.0485293,0.202034,0.27991
396.071,0.0357989,0.16832,0.287932
414.026,0.0258845,0.136255,0.278872
431.876,0.0183495,0.10733,0.256964
449.622,0.0127561,0.0823698,0.226789
467.26,0.00869784,0.0616496,0.192612
484.792,0.00581812,0.0450369,0.157955
502.214,0.00381861,0.0321359,0.125398
519.526,0.0024595,0.022411,0.0965673
536.727,0.00155477,0.0152831,0.0722522
553.815,0.000964778,0.0101963,0.0525928
570.789,0.000587734,0.00665778,0.0372847
587.647,0.000351543,0.00425634,0.0257671
604.389,0.000206476,0.00266504,0.0173731
621.012,0.000119097,0.0016348,0.0114358
637.515,6.74705e-05,0.000982729,0.0073534
653.896,3.75453e-05,0.000579059,0.00462144
670.153,2.05241e-05,0.000334526,0.00284014
686.285,1.10225e-05,0.000189518,0.0017075
702.29,5.81623e-06,0.00010531,0.00100463
718.166,3.01568e-06,5.74073e-05,0.000578662
733.91,1.53656e-06,3.07059e-05,0.000326409
749.522,7.69429e-07,1.61177e-05,0.000180361
764.998,3.78684e-07,8.30392e-06,9.7653e-05
780.339,1.83198e-07,4.19975e-06,5.18205e-05
795.548,8.71216e-08,2.0854e-06,2.69583e-05
810.631,4.07297e-08,1.0168e-06,1.37517e-05
825.606,1.87214e-08,4.8688e-07,6.87989e-06
840.504,8.46044e-09,2.28981e-07,3.37641e-06
855.362,3.75856e-09,1.05784e-07,1.62577e-06
870.221,1.6405e-09,4.80103e-08,7.68194e-07
885.11,7.02346e-10,2.14137e-08,3.56262e-07
900.041,2.95707e-10,9.38527e-09,1.62185e-07
915.006,1.24272e-10,4.03896e-09,7.2487e-08
929.985,5.19545e-11,1.71083e-09,3.18082e-08
944.949,2.20081e-11,7.14975e-10,1.37058e-08
959.862,1.16615e-11,2.8556e-10,5.80162e-09
974.688,6.95975e-12,1.162e-10,2.41426e-09
989.391,4.21441e-12,4.62734e-11,9.91589e-10
1003.93,4.33274e-12,1.84425e-11,4.00612e-10
1018.27,4.05721e-12,3.48582e-12,1.59937e-10
1032.37,1.85939e-12,4.42503e-12,6.10583e-11
1046.18,5.8228e-13,2.66849e-12,1.89836e-11
1059.67,1.14197e-12,3.07419e-12,-1.01623e-13
1072.76,1.40925e-12,1.80275e-12,-6.3975e-12
1085.41,1.1639e-12,1.56775e-12,-7.89522e-12
1097.54,9.63824e-13,2.74876e-12,-5.38178e-12
1109.03,-4.00209e-13,1.17726e-12,-3.65214e-12
1119.72,-1.70102e-12,-6.70315e-13,-1.8209e-12
1129.38,-3.11108e-13,1.42308e-13,1.30925e-12
1138.26,1.87774e-12,1.95008e-12,1.33117e-12
1147.67,1.50622e-12,7.60465e-13,1.66872e-12
1158.28,-4.93216e-13,4.38728e-13,2.28405e-12
1169.97,-1.29331e-12,9.5763e-13,2.36444e-12
1182.57,-7.0984e-13,1.08188e-12,2.6686e-12
1196,-2.64985e-13,5.17755e-13,8.85964e-13
1210.22,-6.14024e-14,-2.14788e-12,-5.01228e-13
1225.22,7.40461e-13,-1.6541e-12,-1.62856e-14
1240.97,1.37003e-12,9.49574e-13,2.44598e-13
1257.49,6.03699e-13,-1.37562e-12,8.99014e-13
1274.79,-5.2925e-13,-3.07557e-12,1.00218e-12
1292.89,-3.32512e-13,-7.35206e-13,-2.35013e-13
1311.81,4.30069e-13,5.78374e-13,-2.62025e-13
1331.59,-8.33588e-14,5.35314e-13,5.6348e-13
1352.27,-1.63283e-12,-1.38651e-12,2.19173e-13
1373.89,-2.49282e-12,-2.38697e-12,-4.65608e-13
1396.52,-2.06737e-12,-3.93988e-13,-7.85062e-13
1420.21,-1.26924e-12,3.47949e-12,-1.04885e-12
1445.07,-9.31137e-13,1.99503e-13,-8.85185e-13
1471.17,-8.973e-13,-9.3061e-13,-4.01756e-13
1498.64,-5.33822e-13,-1.28489e-12,-8.77709e-14
1527.63,3.7345e-13,-2.97598e-14,1.21931e-13
1558.31,1.29669e-12,-2.84322e-12,-7.99499e-14
1590.92,1.4984e-12,-8.3712e-13,-7.82244e-13
1625.76,8.6151e-13,3.53876e-12,-7.86193e-13
1663.24,4.10355e-14,3.44451e-12,2.69075e-13
1703.91,-2.43237e-13,2.98315e-12,8.1576e-13
1748.66,1.03666e-13,1.49293e-12,2.68615e-13
1798.9,6.0938e-13,5.42507e-13,1.17269e-13
1857.37,7.90648e-13,-6.24636e-13,9.09365e-13
1931.1,5.26199e-13,-2.28497e-12,1.12915e-12
