eigenvalues,eigenvector1,eigenvector2,eigenvector3
2.22985,0.007654,-0.0107921,0.0131414
4.134,0.0157025,-0.0220678,0.0267811
6.09085,0.024094,-0.0336774,0.040641
8.19653,0.0327737,-0.0454634,0.0544332
10.6704,0.0416839,-0.0572637,0.0678664
13.6578,0.0507645,-0.0689133,0.0806525
17.1904,0.059954,-0.0802476,0.0925126
21.2655,0.0691896,-0.0911044,0.103183
25.8762,0.0784084,-0.101327,0.112423
31.0161,0.0875474,-0.110765,0.120016
36.6792,0.0965448,-0.11928,0.12578
42.8592,0.10534,-0.126744,0.129567
49.5499,0.113876,-0.133043,0.131269
56.7445,0.122095,-0.138079,0.130818
64.436,0.129946,-0.141771,0.12819
72.6169,0.13738,-0.144055,0.123403
81.2792,0.144353,-0.144888,0.116521
90.4146,0.150824,-0.144243,0.107647
100.014,0.156759,-0.142115,0.0969218
110.069,0.162126,-0.138518,0.0845257
120.568,0.1669,-0.133484,0.0706691
131.503,0.171063,-0.127064,0.0555903
142.863,0.174599,-0.119325,0.0395506
154.636,0.1775,-0.110349,0.022828
166.811,0.179761,-0.100234,0.00571213
179.376,0.181385,-0.0890909,-0.0115018
192.32,0.182378,-0.0770386,-0.028519
205.63,0.182751,-0.0642068,-0.0450506
219.292,0.182519,-0.0507312,-0.0608195
233.294,0.181703,-0.0367523,-0.0755649
247.622,0.180327,-0.0224129,-0.0890474
262.263,0.178416,-0.00785653,-0.101053
277.202,0.176001,0.0067748,-0.111396
292.424,0.173115,0.0213425,-0.119923
307.916,0.169793,0.0357129,-0.126513
323.661,0.166069,0.0497591,-0.131082
339.646,0.161984,0.0633622,-0.133577
355.853,0.157574,0.0764128,-0.133986
372.269,0.152878,0.0888116,-0.132326
388.876,0.147937,0.100471,-0.12865
405.658,0.142788,0.111313,-0.123041
422.601,0.13747,0.121276,-0.115609
439.686,0.13202,0.130307,-0.106491
456.898,0.126473,0.138368,-0.0958441
474.22,0.120863,0.14543,-0.083844
491.635,0.115225,0.15148,-0.070681
509.127,0.109587,0.156513,-0.0565557
526.677,0.10398,0.160538,-0.0416751
544.271,0.0984285,0.16357,-0.0262493
561.889,0.0929579,0.165637,-0.0104873
579.516,0.0875898,0.166774,0.00540602
597.135,0.0823438,0.167023,0.0212332
614.727,0.0772372,0.166432,0.036807
632.277,0.0722848,0.165055,0.0519528
649.767,0.0674994,0.16295,0.0665108
667.181,0.0628915,0.160178,0.0803373
684.501,0.0584695,0.156804,0.0933067
701.71,0.0542398,0.152892,0.105312
718.793,0.0502069,0.148507,0.116264
735.732,0.0463737,0.143714,0.126094
752.512,0.0427412,0.138578,0.134752
769.115,0.0393092,0.133161,0.142206
785.526,0.036076,0.127523,0.148441
801.73,0.0330387,0.12172,0.15346
817.709,0.0301935,0.115806,0.15728
833.449,0.0275355,0.109833,0.159932
848.935,0.025059,0.103845,0.16146
864.151,0.0227578,0.0978864,0.161916
879.084,0.020625,0.0919942,0.161365
893.717,0.0186534,0.0862027,0.159877
908.038,0.0168355,0.0805419,0.157526
922.032,0.0151634,0.0750376,0.154394
935.686,0.0136292,0.0697116,0.150562
948.987,0.012225,0.064582,0.146115
961.921,0.0109429,0.0596632,0.141136
974.476,0.00977494,0.0549661,0.135706
986.64,0.00871352,0.0504987,0.129907
998.401,0.0077511,0.0462656,0.123813
1009.75,0.00688042,0.0422692,0.117497
1020.67,0.00609447,0.0385093,0.111028
1031.16,0.00538653,0.0349836,0.104467
1041.19,0.00475019,0.0316878,0.0978706
1050.78,0.00417936,0.028616,0.0912907
1059.9,0.00366828,0.0257611,0.084772
1068.54,0.00321151,0.0231145,0.0783535
1076.7,0.00280397,0.0206667,0.0720681
1084.37,0.00244086,0.0184077,0.065943
1091.54,0.00211773,0.0163265,0.0599996
1098.21,0.00183044,0.0144118,0.0542536
1104.36,0.0015751,0.0126519,0.0487157
1109.99,0.00134813,0.0110348,0.0433914
1115.09,0.00114619,0.00954848,0.0382815
1119.67,0.000966179,0.00818063,0.0333824
1123.7,0.0008052,0.00691897,0.0286859
1127.18,0.000660545,0.00575109,0.0241802
1130.09,0.000529667,0.0046645,0.0198494
1132.4,0.000410147,0.0036466,0.0156737
1133.98,0.000299667,0.00268456,0.0116298
1135.51,0.000195971,0.00176526,0.00769084
1138.18,9.68301e-05,0.000875128,0.00382584
