eigenvalues,eigenvector1,eigenvector2,eigenvector3
0.641079,0.00178923,-0.00487812,0.00863405
1.58759,0.0036807,-0.0100187,0.0176886
3.03296,0.00567316,-0.0154007,0.0270792
5.00131,0.00776514,-0.0210014,0.0367162
7.50092,0.00995487,-0.0267964,0.0465055
10.5342,0.0122404,-0.0327596,0.0563496
14.1008,0.0146193,-0.0388636,0.0661484
18.1987,0.0170893,-0.0450796,0.0758006
22.8251,0.0196475,-0.0513779,0.0852044
27.9761,0.022291,-0.0577274,0.0942586
33.6472,0.0250164,-0.0640965,0.102864
39.8332,0.0278204,-0.0704526,0.110924
46.5285,0.0306991,-0.0767628,0.118345
53.7267,0.0336487,-0.0829936,0.125041
61.421,0.036665,-0.0891117,0.130929
69.6042,0.0397435,-0.0950835,0.135934
78.2684,0.0428796,-0.100876,0.139989
87.4053,0.0460687,-0.106455,0.143035
97.0062,0.0493055,-0.111789,0.145022
107.062,0.052585,-0.116847,0.14591
117.562,0.0559017,-0.121597,0.14567
128.498,0.0592502,-0.12601,0.144283
139.858,0.0626246,-0.130057,0.141741
151.632,0.0660191,-0.133712,0.138048
163.807,0.0694277,-0.136948,0.13322
176.373,0.0728443,-0.139743,0.127282
189.317,0.0762626,-0.142074,0.120273
202.627,0.0796762,-0.143922,0.112241
216.29,0.0830786,-0.145269,0.103246
230.293,0.0864634,-0.1461,0.0933577
244.621,0.0898239,-0.146402,0.082655
259.262,0.0931534,-0.146164,0.0712261
274.201,0.0964451,-0.145379,0.0591671
289.424,0.0996925,-0.144042,0.0465815
304.915,0.102889,-0.142149,0.0335787
320.661,0.106027,-0.139701,0.0202735
336.645,0.1091,-0.136701,0.0067848
352.853,0.112102,-0.133155,-0.0067656
369.269,0.115026,-0.129072,-0.0202542
385.876,0.117865,-0.124462,-0.0335568
402.659,0.120612,-0.11934,-0.0465502
419.601,0.123262,-0.113722,-0.0591129
436.687,0.125808,-0.107629,-0.0711267
453.899,0.128242,-0.101081,-0.0824775
471.221,0.130561,-0.0941039,-0.0930571
488.636,0.132756,-0.0867238,-0.102764
506.128,0.134823,-0.0789701,-0.111503
523.679,0.136756,-0.070874,-0.119191
541.272,0.138549,-0.0624688,-0.12575
558.891,0.140197,-0.0537894,-0.131117
576.518,0.141695,-0.0448728,-0.135236
594.136,0.143037,-0.0357572,-0.138066
611.729,0.14422,-0.0264822,-0.139576
629.279,0.145239,-0.0170886,-0.139749
646.769,0.14609,-0.00761808,-0.13858
664.183,0.146768,0.00188682,-0.136079
681.503,0.147271,0.0113832,-0.132265
698.713,0.147594,0.0208276,-0.127175
715.795,0.147736,0.0301768,-0.120854
732.735,0.147692,0.0393875,-0.113361
749.515,0.147461,0.0484166,-0.104768
766.118,0.147041,0.0572219,-0.0951565
782.529,0.14643,0.0657616,-0.0846178
798.733,0.145627,0.0739953,-0.0732536
814.712,0.144629,0.0818834,-0.0611737
830.453,0.143438,0.089388,-0.0484952
845.939,0.142052,0.0964728,-0.0353415
861.156,0.140471,0.103103,-0.0218412
876.088,0.138696,0.109246,-0.00812622
890.722,0.136728,0.114872,0.00566866
905.043,0.134567,0.119953,0.0194077
919.038,0.132215,0.124463,0.0329554
932.692,0.129674,0.128378,0.0461777
945.993,0.126946,0.13168,0.0589437
958.927,0.124033,0.134351,0.0711265
971.483,0.120939,0.136376,0.0826048
983.648,0.117667,0.137745,0.0932641
995.41,0.11422,0.138449,0.102998
1006.76,0.110602,0.138485,0.111708
1017.68,0.106819,0.137849,0.119308
1028.17,0.102874,0.136545,0.12572
1038.21,0.098772,0.134577,0.13088
1047.79,0.0945193,0.131953,0.134735
1056.91,0.0901213,0.128686,0.137245
1065.56,0.0855839,0.12479,0.138385
1073.72,0.0809135,0.120283,0.138141
1081.39,0.0761167,0.115186,0.136515
1088.57,0.0712003,0.109524,0.133523
1095.24,0.0661716,0.103323,0.129193
1101.4,0.061038,0.0966133,0.123568
1107.04,0.0558073,0.089427,0.116703
1112.15,0.0504872,0.081799,0.108666
1116.74,0.0450861,0.0737663,0.099537
1120.8,0.0396123,0.0653682,0.0894076
1124.31,0.0340743,0.056646,0.0783787
1127.28,0.028481,0.0476424,0.0665607
1129.71,0.0228411,0.038402,0.0540723
1131.58,0.0171638,0.0289703,0.0410389
1132.89,0.0114583,0.0193943,0.0275915
1133.66,0.0057339,0.00972141,0.0138658
