        rhomax,1,2,3
1,188.89032,223.15663,227.57455,
2,34.213413,42.786594,43.891338,
3,7.0541964,10.909665,11.403281,
4,0.67928916,1.7424345,2.0346508,
5,2.7793889,0.21887304,0.04414735,
6,4.0386715,0.40644941,0.039909676,
7,3.6267123,0.55801463,0.054495998,
8,2.5378792,0.73624742,0.071241811,
9,1.7970763,0.94308054,0.090256736,
10,4.1169877,1.1809695,0.11155476,
