expv,time,maxeps,LUtime
              1,4e-06,-1.1796978,0.000186
              2,1.1e-05,-3.0880368,0.001995
              3,6.4e-05,-5.0800515,0.327998
              4,0.00018,-7.0792851,280.75263
              5,0.001878,-8.8429727,0
              6,0.030478,-6.0754737,0
              7,0.271644,-5.5252301,0
