L,E,M,Cv,chi
             40,-1.6621261,0.86892786,0.95597661,0.93677429
60,-1.66184,0.86858392,0.95981366,0.94182019
80,-1.6620797,0.86878495,0.96609061,0.94332538
100,-1.6620749,0.86873717,0.96325223,0.96310785
