L,E,M,Cv,chi
             40,-1.5986993,0.82807243,1.1798636,2.0528993
60,-1.5980929,0.82738181,1.1854297,2.1476576
80,-1.5980877,0.82731696,1.187259,2.1371854
100,-1.5982442,0.82766232,1.1853387,2.1634426
