L,E,M,Cv,chi
             40,-1.4836519,0.71461784,1.7492345,11.711738
60,-1.4825486,0.70808311,1.8214328,18.278809
80,-1.4821802,0.70550065,1.8483195,22.623554
100,-1.4825837,0.70834279,1.8261633,20.362578
