L,E,M,Cv,chi
             40,-1.7455696,0.91133157,0.72365897,0.38642367
60,-1.7455693,0.91129871,0.72662474,0.39062271
80,-1.7454801,0.91127292,0.72373118,0.38405633
100,-1.7455618,0.91133654,0.72798178,0.38501053
