L,E,M,Cv,chi
             40,-1.2779046,0.3661994,1.6123774,28.181314
60,-1.268493,0.25568706,1.4660448,41.407614
80,-1.2657057,0.18902369,1.3921576,47.178522
100,-1.2654047,0.15180097,1.36376,50.110493
