L,E,M,Cv,chi
             40,-1.3682347,0.53083517,1.9887865,28.421859
60,-1.357683,0.4510434,2.1160795,62.678545
80,-1.3522138,0.38873326,2.1550952,101.6042
100,-1.3478961,0.33111489,2.0967321,142.44421
