L,E,M,Cv,chi
             40,-1.6209488,0.84328375,1.0991822,1.5724964
60,-1.6211763,0.84343111,1.0962396,1.6247326
80,-1.6208212,0.8433113,1.091629,1.5482898
100,-1.6211491,0.84352663,1.0965327,1.5600712
