L,E,M,Cv,chi
             40,-1.3495223,0.49776327,1.9515958,29.810685
60,-1.3359432,0.39649655,1.9733487,61.4914
80,-1.3311746,0.33005238,1.9370761,93.768054
100,-1.3277778,0.2707341,1.8579048,117.97369
