L,E,M,Cv,chi
             40,-1.4479145,0.66545951,1.8931639,17.257213
60,-1.4425636,0.63697214,2.1016281,36.433863
80,-1.4420261,0.62801921,2.2165401,55.114996
100,-1.4408503,0.61623065,2.3158069,83.291277
