L,E,M,Cv,chi
             40,-1.730647,0.90432938,0.76485643,0.46214117
60,-1.7306437,0.90437532,0.76586053,0.45286755
80,-1.7305368,0.90431364,0.76255033,0.45045435
100,-1.7306261,0.90438643,0.76993971,0.45442272
