L,E,M,Cv,chi
             40,-1.4655803,0.68881039,1.83057,15.317479
60,-1.4643468,0.68065694,1.9255145,23.373787
80,-1.4631214,0.67393051,1.998423,32.589279
100,-1.4621901,0.66665982,2.0897446,45.784372
