L,E,M,Cv,chi
             40,-1.6418047,0.85623236,1.0365587,1.400299
60,-1.64208,0.85682453,1.0246019,1.1964179
80,-1.6423009,0.85699004,1.0244941,1.2049456
100,-1.6420735,0.85673274,1.0306532,1.2276513
