L,E,M,Cv,chi
             40,-1.4084771,0.60061996,1.9957726,24.069154
60,-1.4004804,0.55217454,2.2290568,51.77263
80,-1.3961821,0.51099022,2.3556699,93.210524
100,-1.3931271,0.47846459,2.4530249,143.49487
