L,E,M,Cv,chi
             40,-1.5168806,0.75468204,1.5657137,7.5458595
60,-1.5158556,0.7503526,1.6103235,11.011049
80,-1.516548,0.75361454,1.5720689,8.4744251
100,-1.5163557,0.75255149,1.5986667,9.3282915
