L,E,M,Cv,chi
             40,-1.2932827,0.39014252,1.695029,29.512137
60,-1.2835217,0.28290818,1.5635578,47.429403
80,-1.2805071,0.21274286,1.467136,56.512138
100,-1.2796963,0.17072806,1.4486082,62.921346
