L,E,M,Cv,chi
             40,-1.3882925,0.56614079,2.0160434,26.705156
60,-1.377927,0.49712259,2.195338,59.540869
80,-1.3733676,0.44961869,2.2681506,98.943214
100,-1.3685654,0.39000331,2.3434517,161.14192
