L,E,M,Cv,chi
             40,-1.5735352,0.80783461,1.2956533,3.5209526
60,-1.5732494,0.80801141,1.2925774,3.1144127
80,-1.5735117,0.80826297,1.2857701,3.1486387
100,-1.5732497,0.80796706,1.2935802,3.2047753
