L,E,M,Cv,chi
             40,-1.4281551,0.63376078,1.9611467,20.762269
60,-1.422996,0.60095417,2.1696618,43.213113
80,-1.4201906,0.58062069,2.2888717,67.377529
100,-1.4196701,0.56964288,2.4015778,100.46367
