L,E,M,Cv,chi
             40,-1.6982553,0.888429,0.85262609,0.6279785
60,-1.6983569,0.88850178,0.85640001,0.63430966
80,-1.6983394,0.88843112,0.85379369,0.64172208
100,-1.6984516,0.8885825,0.85339533,0.63068354
