L,E,M,Cv,chi
             40,-1.5012673,0.73794522,1.6231113,8.7963849
60,-1.4999935,0.73171009,1.7092271,13.388965
80,-1.500446,0.7346748,1.6742096,11.107088
100,-1.5002972,0.73377983,1.6839309,12.16718
