L,E,M,Cv,chi
             40,-1.3109507,0.42401426,1.7917543,30.161119
60,-1.29961,0.31559442,1.7073856,53.192643
80,-1.2961361,0.24501842,1.6007082,69.503045
100,-1.2945355,0.19619914,1.5381647,75.695084
