L,E,M,Cv,chi
             40,-1.5463718,0.78490067,1.4026134,4.507101
60,-1.5463295,0.7844629,1.4159915,4.7397844
80,-1.5463323,0.78455691,1.4190333,4.8747836
100,-1.5465865,0.78483505,1.4162767,4.8101033
