L,E,M,Cv,chi
             40,-1.5317953,0.77025995,1.4864946,5.9976681
60,-1.5317966,0.76992022,1.5001462,6.5201121
80,-1.5318647,0.77029273,1.4868814,6.0620166
100,-1.5319926,0.77007178,1.4973898,6.7217542
