L,E,M,Cv,chi
             40,-1.6810467,0.87951718,0.90139727,0.74873017
60,-1.6805886,0.87907764,0.90990189,0.77666401
80,-1.6808431,0.87926415,0.90390631,0.76495908
100,-1.6808049,0.8792482,0.90253441,0.75624293
