L,E,M,Cv,chi
             40,-1.329151,0.45732461,1.8848444,30.780009
60,-1.3173759,0.3545462,1.8266146,58.062571
80,-1.3117572,0.27491178,1.7301487,78.301772
100,-1.3103969,0.22309248,1.6793154,95.146707
