dtm,Efor,imp1,imp2
0.015625,0.00039560816,0.00047942769,0.0004288879
0.022097087,0.00038147918,0.00050909124,0.0004283764
0.03125,0.00039198516,0.00055361632,0.0004308102
0.044194174,0.00041596602,0.00061167039,0.00042808745
0.0625,0.00053915653,0.00071525356,0.00043437675
0.088388348,0.00074071453,0.00087711943,0.00042693171
0.125,0.0010520535,0.001122547,0.00044035675
0.1767767,0.0014680263,0.001480664,0.00043391086
0.25,0.0020850606,0.0020281775,0.00044736752
0.35355339,0.0029123891,0.0027908643,0.00041490252
0.5,0.0048248558,0.0039149522,0.00043873435
0.70710678,30.45388,0.0054907393,0.00033898284
1,174.39351,0.0077786618,0.00035494076
1.4142136,498.20072,0.010791409,0.00031661304
2,33.867317,0.015711136,0.0027695938
2.8284271,18.107801,0.021270005,0.010632516
4,4.6044833,0.029630093,0.030639625
5.6568542,0.70226809,0.045512334,0.059528284
