dt,dx,err
6.25e-05,0.025,0.0025641099
0.000125,0.025,0.0051282124
0.00025,0.025,0.010256512
0.00025,0.05,0.0052632781
0.0005,0.05,0.010526433
0.001,0.05,0.021054297
0.001,0.1,0.011113124
0.002,0.1,0.022224099
0.004,0.1,0.04447184
0.004,0.2,0.025033148
0.008,0.2,0.050027699
0.016,0.2,0.10042306
