dtm,Efor,imp1,imp2
0.015625,3.7977542e-06,4.6264601e-06,4.1331701e-06
0.022097087,3.7317948e-06,4.8677224e-06,4.1332021e-06
0.03125,3.7341095e-06,5.2420411e-06,4.1333624e-06
0.044194174,3.9907344e-06,5.8266245e-06,4.1331735e-06
0.0625,5.0853771e-06,6.7402721e-06,4.1337188e-06
0.088388348,7.0153141e-06,8.1594054e-06,4.1336435e-06
0.125,9.7456549e-06,1.0342807e-05,4.1343159e-06
0.1767767,1.3606135e-05,1.3648319e-05,4.1343528e-06
0.25,1.9066875e-05,1.8575116e-05,4.1350488e-06
0.35355339,2.6786407e-05,2.6017652e-05,4.1325068e-06
0.5,4.1674772e-05,3.6832857e-05,4.1346666e-06
0.70710678,inf,5.2269598e-05,4.1251228e-06
1,inf,7.4077631e-05,4.1264906e-06
1.4142136,inf,0.00010493949,4.0955871e-06
2,inf,0.00014852787,4.080334e-06
2.8284271,inf,0.0002101804,3.9955453e-06
4,1.2277898e+289,0.0002972704,3.8694177e-06
5.6568542,1.9172188e+231,0.00042034737,3.5647068e-06
