dtm,Efor,imp1,imp2
0.015625,2.9341262e-06,3.9018194e-06,3.4179728e-06
0.022097087,2.7337056e-06,4.1022283e-06,3.4179616e-06
0.03125,2.4502961e-06,4.3857075e-06,3.4179932e-06
0.044194174,2.0494468e-06,4.7864944e-06,3.4179559e-06
0.0625,1.4826095e-06,5.3535102e-06,3.4180315e-06
0.088388348,6.8093549e-07,6.1550324e-06,3.4179264e-06
0.125,4.5286924e-07,7.2892479e-06,3.4180748e-06
0.1767767,2.05623e-06,8.8925944e-06,3.4179533e-06
0.25,4.3242485e-06,1.1161251e-05,3.4180424e-06
0.35355339,7.5304317e-06,1.4367217e-05,3.4174753e-06
0.5,1.2069985e-05,1.8907364e-05,3.4175003e-06
0.70710678,inf,2.5322526e-05,3.416149e-06
1,inf,3.4408018e-05,3.4145038e-06
1.4142136,inf,4.7228591e-05,3.4085069e-06
2,inf,6.5443027e-05,3.4008535e-06
2.8284271,inf,9.1130661e-05,3.3802379e-06
4,inf,0.00012764774,3.3428528e-06
5.6568542,inf,0.00017887554,3.2578499e-06
