dt,dx,err
6.25e-05,0.025,0.398766
0.000125,0.025,0.39873119
0.00025,0.025,1.0467654e+267
0.00025,0.05,0.35979006
0.0005,0.05,0.35965347
0.001,0.05,6.0247048e+62
0.001,0.1,0.29443003
0.002,0.1,0.2939318
0.004,0.1,4.3889305e+12
0.004,0.2,0.21168887
0.008,0.2,0.21106743
0.016,0.2,0.4254551
