      timestep,PE,KE
15300,4.2459191e+38,2.3046769e+38
15400,4.6191128e+38,2.6778707e+38
15500,5.1244177e+38,3.1831756e+38
15600,5.8201225e+38,3.8788803e+38
15700,6.7793044e+38,4.8380609e+38
15800,8.0133645e+38,6.0721149e+38
15900,9.1506446e+38,7.2093808e+38
16000,9.2374699e+38,7.2962046e+38
16100,8.1745243e+38,6.2332734e+38
16200,6.9187629e+38,4.977519e+38
16300,5.9229633e+38,3.9817211e+38
16400,5.1986778e+38,3.2574357e+38
16500,4.6734349e+38,2.7321927e+38
16600,4.2863624e+38,2.3451201e+38
16700,3.9964267e+38,2.0551844e+38
16800,3.7769495e+38,1.8357071e+38
16900,3.6104821e+38,1.6692397e+38
17000,3.4854527e+38,1.5442103e+38
17100,3.3941208e+38,1.4528784e+38
17200,3.3313431e+38,1.3901006e+38
17300,3.293831e+38,1.3525885e+38
17400,3.2797142e+38,1.3384718e+38
17500,3.2883072e+38,1.3470647e+38
17600,3.320026e+38,1.3787835e+38
17700,3.3764388e+38,1.4351963e+38
17800,3.4604593e+38,1.5192168e+38
17900,3.5767272e+38,1.6354847e+38
18000,3.7322631e+38,1.7910207e+38
18100,3.9375605e+38,1.9963182e+38
18200,4.2083957e+38,2.2671534e+38
18300,4.5688104e+38,2.6275683e+38
18400,5.0558008e+38,3.1145587e+38
18500,5.7251629e+38,3.7839208e+38
18600,6.6496874e+38,4.7084442e+38
18700,7.8582529e+38,5.9170045e+38
18800,9.0508841e+38,7.109622e+38
18900,9.3026203e+38,7.3613537e+38
19000,8.327671e+38,6.3864186e+38
19100,7.0569403e+38,5.115696e+38
19200,6.0257084e+38,4.084466e+38
19300,5.2728486e+38,3.3316066e+38
19400,4.7275772e+38,2.786335e+38
19500,4.326591e+38,2.3853488e+38
19600,4.0267441e+38,2.0855018e+38
19700,3.7999575e+38,1.8587152e+38
19800,3.6278937e+38,1.6866513e+38
19900,3.4984105e+38,1.5571681e+38
