      timestep,PE,KE
15400,3.3558889e+38,1.7301144e+38
15500,3.366609e+38,1.7408296e+38
15600,3.3765111e+38,1.7507287e+38
15700,3.3854918e+38,1.7597073e+38
15800,3.3934576e+38,1.7676717e+38
15900,3.400323e+38,1.7745362e+38
16000,3.4060115e+38,1.7802241e+38
16100,3.410458e+38,1.7846702e+38
16200,3.413611e+38,1.7878228e+38
16300,3.4154333e+38,1.7896448e+38
16400,3.4159034e+38,1.7901148e+38
16500,3.4150158e+38,1.789227e+38
16600,3.4127807e+38,1.7869919e+38
16700,3.4092245e+38,1.7834357e+38
16800,3.4043887e+38,1.7785999e+38
16900,3.3983288e+38,1.7725401e+38
17000,3.3911136e+38,1.765325e+38
17100,3.3828232e+38,1.7570347e+38
17200,3.3735477e+38,1.7477594e+38
17300,3.363385e+38,1.7375969e+38
17400,3.3524394e+38,1.7266516e+38
17500,3.3408196e+38,1.7150321e+38
17600,3.3286368e+38,1.7028497e+38
17700,3.3160031e+38,1.6902165e+38
17800,3.3030304e+38,1.6772443e+38
17900,3.2898286e+38,1.6640431e+38
18000,3.2765044e+38,1.6507197e+38
18100,3.263161e+38,1.6373772e+38
18200,3.2498966e+38,1.6241139e+38
18300,3.2368042e+38,1.6110229e+38
18400,3.2239713e+38,1.5981917e+38
18500,3.2114793e+38,1.5857019e+38
18600,3.1994035e+38,1.5736292e+38
18700,3.1878135e+38,1.5620432e+38
18800,3.1767727e+38,1.5510073e+38
18900,3.1663389e+38,1.540577e+38
19000,3.1565631e+38,1.5307997e+38
19100,3.1474908e+38,1.5217222e+38
19200,3.1391635e+38,1.5133904e+38
19300,3.1316183e+38,1.5058419e+38
19400,3.1248866e+38,1.499108e+38
19500,3.1189957e+38,1.4932154e+38
19600,3.1139682e+38,1.4881867e+38
19700,3.1098233e+38,1.4840408e+38
19800,3.1065762e+38,1.4807928e+38
19900,3.1042387e+38,1.4784546e+38
