x,y,z,vx,vy,vz
0,0,0,0,0,0
1.23161e+11,8.27535e+10,7.04729e+06,-16918.4,24634.6,-2.63168
3.9271e+11,-6.55827e+11,-6.06543e+09,11048.1,7333.37,-277.577
0,0,0,0,0,0
1.22309e+11,8.3981e+10,6.91533e+06,-17167.7,24465.2,-2.64665
3.93262e+11,-6.5546e+11,-6.0793e+09,11042.3,7343.11,-277.487
0,0,0,0,0,0
1.21445e+11,8.52e+10,6.78263e+06,-17415.4,24293.2,-2.66136
3.93814e+11,-6.55093e+11,-6.09318e+09,11036.4,7352.85,-277.397
0,0,0,0,0,0
1.20568e+11,8.64103e+10,6.64919e+06,-17661.3,24118.7,-2.6758
3.94366e+11,-6.54725e+11,-6.10704e+09,11030.6,7362.58,-277.306
0,0,0,0,0,0
1.19679e+11,8.76119e+10,6.51505e+06,-17905.5,23941.6,-2.68997
3.94917e+11,-6.54356e+11,-6.12091e+09,11024.7,7372.31,-277.215
0,0,0,0,0,0
1.18777e+11,8.88045e+10,6.3802e+06,-18148,23762.1,-2.70386
3.95468e+11,-6.53988e+11,-6.13476e+09,11018.8,7382.03,-277.124
0,0,0,0,0,0
1.17864e+11,8.99881e+10,6.24466e+06,-18388.7,23580.1,-2.71749
3.96019e+11,-6.53618e+11,-6.14862e+09,11012.9,7391.75,-277.033
0,0,0,0,0,0
1.16938e+11,9.11625e+10,6.10845e+06,-18627.6,23395.7,-2.73084
3.9657e+11,-6.53248e+11,-6.16247e+09,11007.1,7401.46,-276.941
0,0,0,0,0,0
1.16001e+11,9.23277e+10,5.97158e+06,-18864.7,23208.8,-2.74391
3.9712e+11,-6.52878e+11,-6.17631e+09,11001.2,7411.17,-276.849
0,0,0,0,0,0
1.15052e+11,9.34834e+10,5.83406e+06,-19100,23019.5,-2.7567
3.9767e+11,-6.52507e+11,-6.19015e+09,10995.2,7420.88,-276.758
0,0,0,0,0,0
1.14091e+11,9.46296e+10,5.69591e+06,-19333.3,22827.8,-2.76922
3.98219e+11,-6.52136e+11,-6.20399e+09,10989.3,7430.58,-276.665
0,0,0,0,0,0
1.13118e+11,9.57662e+10,5.55714e+06,-19564.8,22633.7,-2.78146
3.98769e+11,-6.51764e+11,-6.21782e+09,10983.4,7440.27,-276.573
0,0,0,0,0,0
1.12134e+11,9.6893e+10,5.41776e+06,-19794.4,22437.3,-2.79341
3.99318e+11,-6.51392e+11,-6.23165e+09,10977.5,7449.97,-276.48
0,0,0,0,0,0
1.11139e+11,9.80099e+10,5.2778e+06,-20022,22238.5,-2.80508
3.99867e+11,-6.51019e+11,-6.24547e+09,10971.5,7459.65,-276.388
0,0,0,0,0,0
1.10132e+11,9.91168e+10,5.13725e+06,-20247.6,22037.3,-2.81647
4.00415e+11,-6.50646e+11,-6.25928e+09,10965.6,7469.34,-276.295
0,0,0,0,0,0
1.09114e+11,1.00214e+11,4.99615e+06,-20471.2,21833.9,-2.82757
4.00963e+11,-6.50272e+11,-6.2731e+09,10959.6,7479.02,-276.201
0,0,0,0,0,0
1.08085e+11,1.013e+11,4.8545e+06,-20692.8,21628.2,-2.83838
4.01511e+11,-6.49898e+11,-6.2869e+09,10953.6,7488.69,-276.108
0,0,0,0,0,0
1.07045e+11,1.02376e+11,4.71231e+06,-20912.4,21420.2,-2.84891
4.02058e+11,-6.49523e+11,-6.30071e+09,10947.7,7498.36,-276.014
0,0,0,0,0,0
1.05994e+11,1.03442e+11,4.56961e+06,-21129.9,21209.9,-2.85914
4.02606e+11,-6.49148e+11,-6.31451e+09,10941.7,7508.03,-275.92
0,0,0,0,0,0
1.04932e+11,1.04497e+11,4.4264e+06,-21345.3,20997.4,-2.86908
4.03153e+11,-6.48773e+11,-6.3283e+09,10935.7,7517.69,-275.826
0,0,0,0,0,0
1.03859e+11,1.05542e+11,4.2827e+06,-21558.6,20782.7,-2.87874
4.03699e+11,-6.48396e+11,-6.34209e+09,10929.7,7527.35,-275.732
0,0,0,0,0,0
1.02776e+11,1.06576e+11,4.13852e+06,-21769.8,20565.8,-2.8881
4.04246e+11,-6.4802e+11,-6.35587e+09,10923.6,7537,-275.637
0,0,0,0,0,0
1.01682e+11,1.07599e+11,3.99389e+06,-21978.8,20346.7,-2.89716
4.04792e+11,-6.47643e+11,-6.36965e+09,10917.6,7546.65,-275.543
0,0,0,0,0,0
1.00578e+11,1.0861e+11,3.84881e+06,-22185.6,20125.5,-2.90593
4.05337e+11,-6.47265e+11,-6.38343e+09,10911.6,7556.29,-275.448
0,0,0,0,0,0
9.94638e+10,1.09611e+11,3.7033e+06,-22390.2,19902.2,-2.9144
4.05883e+11,-6.46887e+11,-6.3972e+09,10905.5,7565.93,-275.352
0,0,0,0,0,0
9.83392e+10,1.10601e+11,3.55737e+06,-22592.6,19676.7,-2.92258
4.06428e+11,-6.46509e+11,-6.41096e+09,10899.5,7575.57,-275.257
0,0,0,0,0,0
