      timestep,PE,KE
15300,4.0770784e+35,2.0980823e+35
15400,4.0989403e+35,2.1198578e+35
15500,4.1061391e+35,2.1269885e+35
15600,4.1086009e+35,2.1293813e+35
15700,4.1059395e+35,2.1266584e+35
15800,4.0873132e+35,2.1079853e+35
15900,4.0698839e+35,2.0905136e+35
16000,4.0455465e+35,2.0661425e+35
16100,4.0137098e+35,2.0342779e+35
16200,3.9876624e+35,2.008205e+35
16300,3.9539238e+35,1.9744494e+35
16400,3.9238906e+35,1.9443996e+35
16500,3.9016573e+35,1.9221469e+35
16600,3.874461e+35,1.8949439e+35
16700,3.856188e+35,1.8766631e+35
16800,3.8438448e+35,1.8643036e+35
16900,3.8318981e+35,1.8523569e+35
17000,3.8299366e+35,1.8503926e+35
17100,3.8328232e+35,1.8532667e+35
17200,3.8381141e+35,1.8585602e+35
17300,3.8511992e+35,1.8716467e+35
17400,3.870334e+35,1.890775e+35
17500,3.8914035e+35,1.9118497e+35
17600,3.9190164e+35,1.9394617e+35
17700,3.9490526e+35,1.9695006e+35
17800,3.9782461e+35,1.9987039e+35
17900,4.0152412e+35,2.0356947e+35
18000,4.0467153e+35,2.0671826e+35
18100,4.0746739e+35,2.0951543e+35
18200,4.1063964e+35,2.126872e+35
18300,4.1236896e+35,2.1441881e+35
18400,4.1389924e+35,2.159505e+35
18500,4.1499666e+35,2.170483e+35
18600,4.1429287e+35,2.1634699e+35
18700,4.1355328e+35,2.1560911e+35
18800,4.1185448e+35,2.1391195e+35
18900,4.0913554e+35,2.1119591e+35
19000,4.0654231e+35,2.0860531e+35
19100,4.0297971e+35,2.0504614e+35
19200,3.9940127e+35,2.0147183e+35
19300,3.9619057e+35,1.9826503e+35
19400,3.9258915e+35,1.9466927e+35
19500,3.8946019e+35,1.9154673e+35
19600,3.8683552e+35,1.889278e+35
19700,3.8427124e+35,1.8637181e+35
19800,3.8238965e+35,1.8449835e+35
19900,3.8132486e+35,1.8343956e+35
20000,3.8028811e+35,1.8240931e+35
20100,3.7996641e+35,1.8209031e+35
20200,3.8060652e+35,1.82728e+35
20300,3.8120843e+35,1.8332558e+35
20400,3.8278154e+35,1.8489069e+35
20500,3.8482532e+35,1.8692557e+35
20600,3.8676399e+35,1.888566e+35
20700,3.8990902e+35,1.9199278e+35
20800,3.9278171e+35,1.9485912e+35
20900,3.9568035e+35,1.9775242e+35
21000,3.9930615e+35,2.0137156e+35
21100,4.0183224e+35,2.0389475e+35
21200,4.0457937e+35,2.0663841e+35
21300,4.0717477e+35,2.0922951e+35
21400,4.0824944e+35,2.1030335e+35
21500,4.0927123e+35,2.1132261e+35
21600,4.0938148e+35,2.1143059e+35
21700,4.0837562e+35,2.1042442e+35
21800,4.0711027e+35,2.0915726e+35
21900,4.0486246e+35,2.0690859e+35
