x,y,z,vx,vy,vz
-3.57733e+08,6.37857e+08,5.34423e+06,-10.7094,-6.76992,0.267879
1.44778e+11,3.65578e+10,3.33664e+06,-7641.96,28793.5,-2.08844
3.74309e+11,-6.6834e+11,-5.59868e+09,11243.3,7001.64,-280.626
-3.58268e+08,6.37518e+08,5.35762e+06,-10.7032,-6.7791,0.2678
1.44389e+11,3.79957e+10,3.23231e+06,-7929.78,28720.7,-2.08442
3.74871e+11,-6.6799e+11,-5.61271e+09,11237.8,7011.49,-280.544
-3.58803e+08,6.37179e+08,5.37101e+06,-10.6971,-6.78826,0.267721
1.43985e+11,3.94299e+10,3.1282e+06,-8216.96,28645.1,-2.08017
3.75433e+11,-6.67639e+11,-5.62673e+09,11232.2,7021.33,-280.461
-3.59338e+08,6.36839e+08,5.38439e+06,-10.6909,-6.79742,0.267642
1.43567e+11,4.08602e+10,3.0243e+06,-8503.47,28566.5,-2.07568
3.75994e+11,-6.67288e+11,-5.64075e+09,11226.7,7031.16,-280.378
-3.59872e+08,6.36499e+08,5.39777e+06,-10.6848,-6.80656,0.267562
1.43135e+11,4.22865e+10,2.92063e+06,-8789.27,28485.1,-2.07096
3.76555e+11,-6.66936e+11,-5.65477e+09,11221.2,7041,-280.295
-3.60406e+08,6.36159e+08,5.41115e+06,-10.6786,-6.81569,0.267483
1.42688e+11,4.37087e+10,2.8172e+06,-9074.33,28400.8,-2.066
3.77116e+11,-6.66584e+11,-5.66878e+09,11215.6,7050.83,-280.211
-3.6094e+08,6.35818e+08,5.42452e+06,-10.6725,-6.82481,0.267403
1.42228e+11,4.51266e+10,2.71403e+06,-9358.64,28313.7,-2.0608
3.77677e+11,-6.66231e+11,-5.68279e+09,11210,7060.65,-280.127
-3.61473e+08,6.35476e+08,5.43789e+06,-10.6663,-6.83391,0.267323
1.41753e+11,4.65401e+10,2.61112e+06,-9642.15,28223.6,-2.05537
3.78237e+11,-6.65878e+11,-5.6968e+09,11204.5,7070.47,-280.044
-3.62007e+08,6.35134e+08,5.45125e+06,-10.6601,-6.843,0.267242
1.41263e+11,4.7949e+10,2.50849e+06,-9924.84,28130.7,-2.04971
3.78797e+11,-6.65524e+11,-5.7108e+09,11198.9,7080.29,-279.959
-3.62539e+08,6.34792e+08,5.46461e+06,-10.6539,-6.85208,0.267162
1.4076e+11,4.93531e+10,2.40615e+06,-10206.7,28035,-2.04381
3.79357e+11,-6.6517e+11,-5.72479e+09,11193.3,7090.1,-279.875
-3.63072e+08,6.34449e+08,5.47797e+06,-10.6478,-6.86115,0.267081
1.40243e+11,5.07525e+10,2.30411e+06,-10487.6,27936.4,-2.03768
3.79917e+11,-6.64815e+11,-5.73878e+09,11187.7,7099.91,-279.791
-3.63604e+08,6.34106e+08,5.49132e+06,-10.6416,-6.8702,0.267
1.39711e+11,5.21468e+10,2.20238e+06,-10767.7,27835,-2.03132
3.80476e+11,-6.6446e+11,-5.75277e+09,11182.1,7109.71,-279.706
-3.64136e+08,6.33762e+08,5.50467e+06,-10.6354,-6.87924,0.266919
1.39166e+11,5.3536e+10,2.10098e+06,-11046.8,27730.8,-2.02472
3.81035e+11,-6.64104e+11,-5.76675e+09,11176.5,7119.52,-279.621
-3.64668e+08,6.33418e+08,5.51801e+06,-10.6292,-6.88827,0.266838
1.38607e+11,5.49199e+10,1.99991e+06,-11325,27623.7,-2.01789
3.81593e+11,-6.63748e+11,-5.78073e+09,11170.8,7129.31,-279.536
-3.65199e+08,6.33073e+08,5.53135e+06,-10.6229,-6.89729,0.266756
1.38033e+11,5.62983e+10,1.89919e+06,-11602.1,27513.8,-2.01083
3.82152e+11,-6.63391e+11,-5.79471e+09,11165.2,7139.1,-279.45
-3.6573e+08,6.32728e+08,5.54469e+06,-10.6167,-6.9063,0.266675
1.37446e+11,5.76712e+10,1.79883e+06,-11878.3,27401.1,-2.00354
3.8271e+11,-6.63034e+11,-5.80868e+09,11159.6,7148.89,-279.365
-3.66261e+08,6.32383e+08,5.55802e+06,-10.6105,-6.91529,0.266593
1.36846e+11,5.90384e+10,1.69883e+06,-12153.4,27285.6,-1.99602
3.83268e+11,-6.62676e+11,-5.82264e+09,11153.9,7158.68,-279.279
-3.66791e+08,6.32037e+08,5.57135e+06,-10.6043,-6.92427,0.26651
1.36231e+11,6.03998e+10,1.59922e+06,-12427.4,27167.4,-1.98826
3.83825e+11,-6.62318e+11,-5.83661e+09,11148.2,7168.46,-279.193
-3.67321e+08,6.3169e+08,5.58467e+06,-10.598,-6.93324,0.266428
1.35603e+11,6.17552e+10,1.50001e+06,-12700.2,27046.3,-1.98028
3.84383e+11,-6.61959e+11,-5.85056e+09,11142.6,7178.23,-279.106
-3.67851e+08,6.31343e+08,5.59799e+06,-10.5918,-6.94219,0.266345
1.34961e+11,6.31044e+10,1.4012e+06,-12972,26922.5,-1.97207
3.8494e+11,-6.616e+11,-5.86452e+09,11136.9,7188.01,-279.02
-3.6838e+08,6.30996e+08,5.61131e+06,-10.5856,-6.95114,0.266263
1.34306e+11,6.44474e+10,1.3028e+06,-13242.6,26795.9,-1.96362
3.85496e+11,-6.6124e+11,-5.87847e+09,11131.2,7197.77,-278.933
-3.68909e+08,6.30648e+08,5.62462e+06,-10.5793,-6.96007,0.26618
1.33637e+11,6.5784e+10,1.20483e+06,-13512,26666.6,-1.95495
3.86053e+11,-6.6088e+11,-5.89241e+09,11125.5,7207.54,-278.846
-3.69438e+08,6.303e+08,5.63793e+06,-10.5731,-6.96899,0.266096
1.32954e+11,6.71141e+10,1.10731e+06,-13780.1,26534.6,-1.94606
3.86609e+11,-6.6052e+11,-5.90635e+09,11119.8,7217.3,-278.759
-3.69967e+08,6.29951e+08,5.65123e+06,-10.5668,-6.9779,0.266013
1.32259e+11,6.84375e+10,1.01023e+06,-14047,26399.8,-1.93693
3.87165e+11,-6.60159e+11,-5.92029e+09,11114.1,7227.05,-278.672
-3.70495e+08,6.29602e+08,5.66453e+06,-10.5605,-6.98679,0.265929
1.3155e+11,6.97541e+10,913612,-14312.7,26262.3,-1.92759
3.8772e+11,-6.59797e+11,-5.93422e+09,11108.4,7236.8,-278.584
-3.71023e+08,6.29253e+08,5.67782e+06,-10.5543,-6.99567,0.265846
1.30828e+11,7.10637e+10,817469,-14577,26122.1,-1.91801
3.88276e+11,-6.59435e+11,-5.94814e+09,11102.6,7246.55,-278.496
-3.7155e+08,6.28903e+08,5.69111e+06,-10.548,-7.00455,0.265762
1.30092e+11,7.23663e+10,721811,-14840,25979.2,-1.90821
3.88831e+11,-6.59072e+11,-5.96207e+09,11096.9,7256.29,-278.408
-3.72078e+08,6.28552e+08,5.7044e+06,-10.5417,-7.0134,0.265677
1.29344e+11,7.36616e+10,626648,-15101.6,25833.6,-1.89819
3.89385e+11,-6.58709e+11,-5.97599e+09,11091.1,7266.03,-278.32
-3.72605e+08,6.28201e+08,5.71768e+06,-10.5354,-7.02225,0.265593
1.28582e+11,7.49496e+10,531992,-15361.8,25685.3,-1.88795
3.8994e+11,-6.58346e+11,-5.9899e+09,11085.4,7275.77,-278.232
-3.73131e+08,6.2785e+08,5.73096e+06,-10.5292,-7.03109,0.265508
1.27807e+11,7.62302e+10,437853,-15620.6,25534.4,-1.87748
3.90494e+11,-6.57982e+11,-6.00381e+09,11079.6,7285.5,-278.143
-3.73657e+08,6.27498e+08,5.74423e+06,-10.5229,-7.03991,0.265423
1.2702e+11,7.75031e+10,344244,-15878,25380.9,-1.86679
3.91048e+11,-6.57617e+11,-6.01771e+09,11073.8,7295.22,-278.054
-3.74183e+08,6.27146e+08,5.7575e+06,-10.5166,-7.04872,0.265338
1.2622e+11,7.87683e+10,251174,-16133.8,25224.7,-1.85588
3.91601e+11,-6.57252e+11,-6.03161e+09,11068,7304.94,-277.965
-3.74709e+08,6.26793e+08,5.77076e+06,-10.5103,-7.05752,0.265253
1.25406e+11,8.00255e+10,158655,-16388.2,25065.9,-1.84476
3.92154e+11,-6.56887e+11,-6.04551e+09,11062.2,7314.66,-277.876
-3.75234e+08,6.2644e+08,5.78402e+06,-10.504,-7.06631,0.265167
1.24581e+11,8.12748e+10,66698.1,-16641.1,24904.5,-1.83341
3.92707e+11,-6.56521e+11,-6.0594e+09,11056.4,7324.37,-277.786
-3.75759e+08,6.26087e+08,5.79728e+06,-10.4977,-7.07508,0.265082
1.23742e+11,8.2516e+10,-24686.1,-16892.3,24740.5,-1.82185
3.9326e+11,-6.56154e+11,-6.07329e+09,11050.6,7334.08,-277.697
-3.76284e+08,6.25733e+08,5.81053e+06,-10.4914,-7.08384,0.264996
1.22892e+11,8.37489e+10,-115487,-17142,24573.9,-1.81007
3.93812e+11,-6.55787e+11,-6.08717e+09,11044.8,7343.79,-277.607
-3.76809e+08,6.25378e+08,5.82378e+06,-10.4851,-7.0926,0.26491
1.22028e+11,8.49734e+10,-205693,-17390.1,24404.8,-1.79808
3.94365e+11,-6.5542e+11,-6.10105e+09,11039,7353.49,-277.516
-3.77333e+08,6.25023e+08,5.83702e+06,-10.4787,-7.10134,0.264823
1.21152e+11,8.61894e+10,-295295,-17636.5,24233.1,-1.78587
3.94916e+11,-6.55052e+11,-6.11492e+09,11033.1,7363.18,-277.426
-3.77856e+08,6.24668e+08,5.85026e+06,-10.4724,-7.11006,0.264737
1.20265e+11,8.73967e+10,-384280,-17881.3,24058.9,-1.77345
3.95468e+11,-6.54683e+11,-6.12879e+09,11027.3,7372.88,-277.335
-3.7838e+08,6.24312e+08,5.8635e+06,-10.4661,-7.11878,0.26465
1.19364e+11,8.85953e+10,-472639,-18124.4,23882.2,-1.76081
3.96019e+11,-6.54315e+11,-6.14266e+09,11021.4,7382.56,-277.245
-3.78903e+08,6.23956e+08,5.87673e+06,-10.4598,-7.12749,0.264563
1.18452e+11,8.97849e+10,-560362,-18365.7,23703,-1.74797
3.9657e+11,-6.53945e+11,-6.15652e+09,11015.6,7392.25,-277.154
-3.79426e+08,6.236e+08,5.88995e+06,-10.4535,-7.13618,0.264476
1.17528e+11,9.09656e+10,-647436,-18605.4,23521.3,-1.73492
3.97121e+11,-6.53575e+11,-6.17037e+09,11009.7,7401.93,-277.062
-3.79948e+08,6.23243e+08,5.90317e+06,-10.4471,-7.14486,0.264389
1.16592e+11,9.21371e+10,-733853,-18843.2,23337.2,-1.72165
3.97671e+11,-6.53205e+11,-6.18422e+09,11003.8,7411.6,-276.971
-3.80471e+08,6.22885e+08,5.91639e+06,-10.4408,-7.15353,0.264301
1.15643e+11,9.32993e+10,-819602,-19079.2,23150.6,-1.70818
3.98221e+11,-6.52834e+11,-6.19807e+09,10997.9,7421.27,-276.879
-3.80993e+08,6.22527e+08,5.9296e+06,-10.4345,-7.16219,0.264213
1.14684e+11,9.44521e+10,-904672,-19313.4,22961.5,-1.69451
3.98771e+11,-6.52463e+11,-6.21191e+09,10992,7430.94,-276.787
-3.81514e+08,6.22169e+08,5.94281e+06,-10.4281,-7.17084,0.264125
1.13712e+11,9.55954e+10,-989052,-19545.8,22770.1,-1.68063
3.9932e+11,-6.52091e+11,-6.22575e+09,10986.1,7440.6,-276.695
-3.82035e+08,6.2181e+08,5.95602e+06,-10.4218,-7.17947,0.264037
1.12729e+11,9.67291e+10,-1.07273e+06,-19776.3,22576.2,-1.66654
3.99869e+11,-6.51719e+11,-6.23958e+09,10980.2,7450.25,-276.603
-3.82556e+08,6.21451e+08,5.96922e+06,-10.4154,-7.1881,0.263949
1.11735e+11,9.78531e+10,-1.15571e+06,-20004.8,22380,-1.65225
4.00418e+11,-6.51346e+11,-6.25341e+09,10974.2,7459.91,-276.51
-3.83077e+08,6.21091e+08,5.98241e+06,-10.4091,-7.19671,0.26386
1.10729e+11,9.89671e+10,-1.23796e+06,-20231.5,22181.4,-1.63776
4.00967e+11,-6.50973e+11,-6.26723e+09,10968.3,7469.56,-276.418
-3.83597e+08,6.20731e+08,5.9956e+06,-10.4027,-7.20531,0.263772
1.09711e+11,1.00071e+11,-1.31948e+06,-20456.2,21980.5,-1.62308
4.01515e+11,-6.50599e+11,-6.28105e+09,10962.4,7479.2,-276.325
-3.84117e+08,6.20371e+08,6.00879e+06,-10.3964,-7.2139,0.263683
1.08683e+11,1.01165e+11,-1.40027e+06,-20678.9,21777.3,-1.60819
4.02063e+11,-6.50225e+11,-6.29486e+09,10956.4,7488.84,-276.231
-3.84637e+08,6.2001e+08,6.02197e+06,-10.39,-7.22248,0.263593
1.07643e+11,1.02249e+11,-1.4803e+06,-20899.6,21571.7,-1.5931
4.02611e+11,-6.4985e+11,-6.30867e+09,10950.4,7498.48,-276.138
-3.85156e+08,6.19649e+08,6.03515e+06,-10.3837,-7.23105,0.263504
1.06593e+11,1.03322e+11,-1.55958e+06,-21118.3,21363.9,-1.57783
4.03158e+11,-6.49475e+11,-6.32248e+09,10944.5,7508.11,-276.044
-3.85675e+08,6.19287e+08,6.04832e+06,-10.3773,-7.23961,0.263414
1.05532e+11,1.04385e+11,-1.63808e+06,-21334.9,21153.8,-1.56235
4.03705e+11,-6.49099e+11,-6.33628e+09,10938.5,7517.73,-275.951
-3.86194e+08,6.18925e+08,6.06149e+06,-10.3709,-7.24816,0.263324
1.0446e+11,1.05438e+11,-1.71581e+06,-21549.4,20941.4,-1.54669
4.04252e+11,-6.48723e+11,-6.35007e+09,10932.5,7527.35,-275.856
-3.86712e+08,6.18562e+08,6.07465e+06,-10.3646,-7.25669,0.263234
1.03377e+11,1.06479e+11,-1.79275e+06,-21761.9,20726.9,-1.53083
4.04798e+11,-6.48347e+11,-6.36386e+09,10926.5,7536.97,-275.762
-3.8723e+08,6.18199e+08,6.08781e+06,-10.3582,-7.26522,0.263144
1.02283e+11,1.0751e+11,-1.8689e+06,-21972.2,20510.1,-1.51478
4.05345e+11,-6.4797e+11,-6.37765e+09,10920.5,7546.58,-275.668
-3.87748e+08,6.17835e+08,6.10097e+06,-10.3518,-7.27373,0.263054
1.01179e+11,1.0853e+11,-1.94423e+06,-22180.4,20291.2,-1.49855
4.0589e+11,-6.47592e+11,-6.39143e+09,10914.5,7556.19,-275.573
-3.88266e+08,6.17472e+08,6.11412e+06,-10.3455,-7.28224,0.262963
1.00065e+11,1.0954e+11,-2.01875e+06,-22386.4,20070,-1.48212
4.06436e+11,-6.47214e+11,-6.40521e+09,10908.5,7565.8,-275.478
-3.88783e+08,6.17107e+08,6.12726e+06,-10.3391,-7.29073,0.262872
9.89408e+10,1.10537e+11,-2.09244e+06,-22590.2,19846.8,-1.46552
4.06981e+11,-6.46835e+11,-6.41898e+09,10902.4,7575.4,-275.383
-3.89299e+08,6.16742e+08,6.14041e+06,-10.3327,-7.29921,0.262781
9.78063e+10,1.11524e+11,-2.1653e+06,-22791.7,19621.4,-1.44873
4.07526e+11,-6.46456e+11,-6.43274e+09,10896.4,7584.99,-275.288
-3.89816e+08,6.16377e+08,6.15354e+06,-10.3263,-7.30768,0.26269
9.66617e+10,1.125e+11,-2.23732e+06,-22991.1,19393.9,-1.43175
4.08071e+11,-6.46077e+11,-6.44651e+09,10890.3,7594.58,-275.192
-3.90332e+08,6.16012e+08,6.16668e+06,-10.32,-7.31615,0.262598
9.55072e+10,1.13464e+11,-2.30848e+06,-23188.1,19164.4,-1.4146
4.08615e+11,-6.45697e+11,-6.46026e+09,10884.3,7604.17,-275.096
-3.90848e+08,6.15646e+08,6.1798e+06,-10.3136,-7.3246,0.262507
9.43429e+10,1.14416e+11,-2.37878e+06,-23382.9,18932.8,-1.39727
4.09159e+11,-6.45317e+11,-6.47402e+09,10878.2,7613.75,-275
-3.91363e+08,6.15279e+08,6.19293e+06,-10.3072,-7.33304,0.262415
9.31689e+10,1.15357e+11,-2.4482e+06,-23575.4,18699.2,-1.37976
4.09703e+11,-6.44936e+11,-6.48776e+09,10872.1,7623.33,-274.904
-3.91879e+08,6.14912e+08,6.20604e+06,-10.3008,-7.34147,0.262323
9.19853e+10,1.16286e+11,-2.51675e+06,-23765.5,18463.6,-1.36208
4.10247e+11,-6.44554e+11,-6.50151e+09,10866,7632.9,-274.808
-3.92394e+08,6.14545e+08,6.21916e+06,-10.2944,-7.34989,0.26223
9.07923e+10,1.17203e+11,-2.58441e+06,-23953.3,18225.9,-1.34422
4.1079e+11,-6.44172e+11,-6.51524e+09,10859.9,7642.47,-274.711
-3.92908e+08,6.14177e+08,6.23227e+06,-10.2881,-7.3583,0.262138
8.959e+10,1.18109e+11,-2.65117e+06,-24138.7,17986.4,-1.32619
4.11333e+11,-6.4379e+11,-6.52898e+09,10853.8,7652.03,-274.614
-3.93422e+08,6.13809e+08,6.24537e+06,-10.2817,-7.36669,0.262045
8.83785e+10,1.19002e+11,-2.71703e+06,-24321.7,17744.9,-1.308
4.11875e+11,-6.43407e+11,-6.54271e+09,10847.7,7661.59,-274.517
-3.93936e+08,6.13441e+08,6.25847e+06,-10.2753,-7.37508,0.261952
8.71578e+10,1.19883e+11,-2.78197e+06,-24502.3,17501.4,-1.28963
4.12417e+11,-6.43024e+11,-6.55643e+09,10841.6,7671.15,-274.42
-3.9445e+08,6.13072e+08,6.27157e+06,-10.2689,-7.38346,0.261859
8.59282e+10,1.20752e+11,-2.84599e+06,-24680.5,17256.1,-1.2711
4.12959e+11,-6.4264e+11,-6.57015e+09,10835.5,7680.7,-274.322
-3.94963e+08,6.12702e+08,6.28466e+06,-10.2625,-7.39183,0.261766
8.46898e+10,1.21609e+11,-2.90908e+06,-24856.1,17009,-1.2524
4.13501e+11,-6.42256e+11,-6.58386e+09,10829.3,7690.24,-274.225
-3.95476e+08,6.12333e+08,6.29774e+06,-10.2561,-7.40019,0.261672
8.34426e+10,1.22453e+11,-2.97123e+06,-25029.3,16760,-1.23354
4.14042e+11,-6.41871e+11,-6.59757e+09,10823.2,7699.78,-274.127
-3.95989e+08,6.11962e+08,6.31082e+06,-10.2497,-7.40854,0.261579
8.21868e+10,1.23285e+11,-3.03244e+06,-25200,16509.1,-1.21452
4.14583e+11,-6.41486e+11,-6.61127e+09,10817,7709.32,-274.028
-3.96501e+08,6.11592e+08,6.3239e+06,-10.2433,-7.41688,0.261485
8.09226e+10,1.24104e+11,-3.09269e+06,-25368.2,16256.5,-1.19535
4.15124e+11,-6.411e+11,-6.62497e+09,10810.8,7718.85,-273.93
-3.97013e+08,6.11221e+08,6.33697e+06,-10.237,-7.42521,0.26139
7.965e+10,1.2491e+11,-3.15197e+06,-25533.9,16002.2,-1.17601
4.15664e+11,-6.40714e+11,-6.63867e+09,10804.7,7728.38,-273.832
-3.97525e+08,6.10849e+08,6.35004e+06,-10.2306,-7.43353,0.261296
7.83692e+10,1.25704e+11,-3.21029e+06,-25697,15746,-1.15652
4.16204e+11,-6.40327e+11,-6.65236e+09,10798.5,7737.9,-273.733
-3.98036e+08,6.10477e+08,6.3631e+06,-10.2242,-7.44184,0.261201
7.70803e+10,1.26485e+11,-3.26762e+06,-25857.5,15488.2,-1.13688
4.16744e+11,-6.3994e+11,-6.66604e+09,10792.3,7747.42,-273.634
-3.98547e+08,6.10105e+08,6.37616e+06,-10.2178,-7.45014,0.261107
7.57835e+10,1.27253e+11,-3.32398e+06,-26015.4,15228.7,-1.11708
4.17284e+11,-6.39552e+11,-6.67972e+09,10786.1,7756.93,-273.534
-3.99058e+08,6.09732e+08,6.38921e+06,-10.2114,-7.45843,0.261012
7.44788e+10,1.28008e+11,-3.37933e+06,-26170.6,14967.6,-1.09714
4.17823e+11,-6.39164e+11,-6.69339e+09,10779.9,7766.44,-273.435
-3.99568e+08,6.09359e+08,6.40226e+06,-10.205,-7.46672,0.260917
7.31664e+10,1.2875e+11,-3.43369e+06,-26323.3,14704.8,-1.07705
4.18362e+11,-6.38776e+11,-6.70706e+09,10773.7,7775.94,-273.335
-4.00078e+08,6.08986e+08,6.41531e+06,-10.1986,-7.47499,0.260821
7.18465e+10,1.29478e+11,-3.48704e+06,-26473.3,14440.4,-1.05682
4.189e+11,-6.38387e+11,-6.72073e+09,10767.4,7785.44,-273.236
-4.00588e+08,6.08612e+08,6.42834e+06,-10.1922,-7.48325,0.260726
7.05191e+10,1.30194e+11,-3.53937e+06,-26620.6,14174.4,-1.03644
4.19438e+11,-6.37997e+11,-6.73439e+09,10761.2,7794.93,-273.135
-4.01098e+08,6.08237e+08,6.44138e+06,-10.1858,-7.49151,0.26063
6.91844e+10,1.30896e+11,-3.59068e+06,-26765.2,13906.9,-1.01593
4.19976e+11,-6.37607e+11,-6.74804e+09,10755,7804.42,-273.035
-4.01607e+08,6.07863e+08,6.45441e+06,-10.1794,-7.49976,0.260534
6.78426e+10,1.31584e+11,-3.64096e+06,-26907.2,13637.8,-0.99527
