mc,E,M,Cv,chi
701,-0.011412268,8.0057061,256.09117,16.022792
702,-0.011396011,8.005698,256.09104,16.02276
703,-0.011379801,8.0056899,256.09091,16.022727
704,-0.011363636,8.0056818,256.09078,16.022695
705,-0.011347518,8.0056738,256.09065,16.022663
706,-0.011331445,8.0056657,256.09052,16.022631
707,-0.011315417,8.0056577,256.0904,16.022599
708,-0.011299435,8.0056497,256.09027,16.022567
709,-0.011283498,8.0056417,256.09014,16.022535
710,-0.011267606,8.0056338,256.09001,16.022503
711,-0.011251758,8.0056259,256.08989,16.022472
712,-0.011235955,8.005618,256.08976,16.02244
713,-0.011220196,8.0056101,256.08964,16.022409
714,-0.011204482,8.0056022,256.08951,16.022378
715,-0.011188811,8.0055944,256.08939,16.022346
716,-0.011173184,8.0055866,256.08926,16.022315
717,-0.011157601,8.0055788,256.08914,16.022284
718,-0.011142061,8.005571,256.08901,16.022253
719,-0.011126565,8.0055633,256.08889,16.022222
720,-0.011111111,8.0055556,256.08877,16.022191
721,-0.0110957,8.0055479,256.08864,16.022161
722,-0.011080332,8.0055402,256.08852,16.02213
723,-0.011065007,8.0055325,256.0884,16.022099
724,-0.011049724,8.0055249,256.08828,16.022069
725,-0.011034483,8.0055172,256.08815,16.022039
726,-0.011019284,8.0055096,256.08803,16.022008
727,-0.011004127,8.0055021,256.08791,16.021978
728,-0.010989011,8.0054945,256.08779,16.021948
729,-0.010973937,8.005487,256.08767,16.021918
730,-0.010958904,8.0054795,256.08755,16.021888
731,-0.010943912,8.005472,256.08743,16.021858
732,-0.010928962,8.0054645,256.08731,16.021828
733,-0.010914052,8.005457,256.08719,16.021798
734,-0.010899183,8.0054496,256.08707,16.021769
735,-0.010884354,8.0054422,256.08696,16.021739
736,-0.010869565,8.0054348,256.08684,16.02171
737,-0.010854817,8.0054274,256.08672,16.02168
738,-0.010840108,8.0054201,256.0866,16.021651
739,-0.01082544,8.0054127,256.08649,16.021622
740,-0.010810811,8.0054054,256.08637,16.021592
741,-0.010796221,8.0053981,256.08625,16.021563
